timestamp,elapsed_s,arm,tps,tokens_predicted_total,temp_c,violation_flag,kernel_freq_mhz,actual_freq_mhz,throttle_bits
1774006315.617,0.000,B0,0.0000,0,64.3,0,1800,1800,0
1774006316.620,1.003,B0,0.0000,0,66.2,0,1800,1800,0
1774006317.620,2.003,B0,0.0000,0,68.2,0,1800,1800,0
1774006318.620,3.003,B0,0.0000,0,68.2,0,1800,1800,0
1774006319.620,4.003,B0,0.0000,0,69.1,0,1800,1800,0
1774006320.620,5.004,B0,0.0000,0,71.6,0,1800,1800,0
1774006321.620,6.004,B0,0.0000,0,71.1,0,1800,1800,0
1774006322.624,7.008,B0,0.0000,0,70.6,0,1800,1800,0
1774006323.624,8.008,B0,0.0000,0,72.1,0,1800,1800,0
1774006324.625,9.008,B0,0.0000,0,72.1,0,1800,1800,0
1774006325.625,10.008,B0,0.0000,0,74.0,0,1800,1800,0
1774006326.625,11.009,B0,0.0000,0,74.0,0,1800,1800,0
1774006327.625,12.009,B0,0.0000,0,74.0,0,1800,1800,0
1774006328.626,13.009,B0,0.0000,0,74.0,0,1800,1800,0
1774006329.626,14.009,B0,0.0000,0,74.5,0,1800,1800,0
1774006330.626,15.009,B0,0.0000,0,75.0,0,1800,1800,0
1774006331.627,16.010,B0,0.0000,0,75.0,0,1800,1800,0
1774006332.627,17.010,B0,0.0000,0,75.5,0,1800,1800,0
1774006333.627,18.010,B0,0.0000,0,76.0,0,1800,1800,0
1774006334.627,19.010,B0,0.0000,0,74.5,0,1800,1800,0
1774006335.627,20.011,B0,0.0000,0,75.5,0,1800,1800,0
1774006336.627,21.011,B0,0.0000,0,75.5,0,1800,1800,0
1774006337.628,22.011,B0,0.0000,0,75.5,0,1800,1800,0
1774006338.628,23.011,B0,131.7998,125,75.5,0,1800,1800,0
1774006339.628,24.011,B0,0.0000,125,76.9,0,1800,1800,0
1774006340.628,25.012,B0,0.0000,125,76.9,0,1800,1800,0
1774006341.628,26.012,B0,0.0000,125,76.0,0,1800,1800,0
1774006342.632,27.016,B0,0.0000,125,76.0,0,1800,1800,0
1774006343.637,28.020,B0,0.0000,125,76.9,0,1800,1800,0
1774006344.637,29.020,B0,0.0000,125,76.9,0,1800,1800,0
1774006345.637,30.020,B0,0.0000,125,77.4,0,1800,1800,0
1774006346.637,31.020,B0,0.0000,125,76.9,0,1800,1800,0
1774006347.640,32.024,B0,0.0000,125,76.4,0,1800,1800,0
1774006348.644,33.028,B0,0.0000,125,77.4,0,1800,1800,0
1774006349.644,34.028,B0,0.0000,125,77.9,0,1800,1800,0
1774006350.645,35.028,B0,0.0000,125,78.9,0,1800,1800,0
1774006351.648,36.032,B0,0.0000,125,77.4,0,1800,1800,0
1774006352.648,37.032,B0,0.0000,125,78.9,0,1800,1800,0
1774006353.652,38.036,B0,0.0000,125,78.4,0,1800,1800,0
1774006354.656,39.040,B0,0.0000,125,78.4,0,1800,1800,0
1774006355.656,40.040,B0,0.0000,125,76.9,0,1800,1800,0
1774006356.656,41.040,B0,0.0000,125,78.9,0,1800,1800,0
1774006357.657,42.040,B0,0.0000,125,78.4,0,1800,1800,0
1774006358.658,43.042,B0,0.0000,125,78.9,0,1800,1800,0
1774006359.659,44.042,B0,0.0000,125,78.9,0,1800,1800,0
1774006360.659,45.042,B0,0.0000,125,79.4,0,1800,1800,0
1774006361.659,46.042,B0,0.0000,125,78.9,0,1800,1800,0
1774006362.659,47.042,B0,0.0000,125,78.9,0,1800,1800,0
1774006363.659,48.043,B0,0.0000,125,79.9,0,1800,1800,0
1774006364.659,49.043,B0,0.0000,125,79.4,0,1800,1800,0
1774006365.660,50.043,B0,0.0000,125,80.3,1,1800,1800,0
1774006366.660,51.043,B0,0.0000,125,78.9,0,1800,1800,0
1774006367.660,52.043,B0,155.4739,275,80.8,1,1800,1800,0
1774006368.660,53.043,B0,0.0000,275,79.9,0,1800,1800,0
1774006369.660,54.044,B0,0.0000,275,78.4,0,1800,1800,0
1774006370.660,55.044,B0,0.0000,275,80.8,1,1800,1800,0
1774006371.664,56.048,B0,0.0000,275,80.3,1,1800,1800,0
1774006372.664,57.048,B0,0.0000,275,79.9,0,1800,1800,0
1774006373.665,58.048,B0,0.0000,275,79.9,0,1800,1800,0
1774006374.665,59.048,B0,0.0000,275,80.3,1,1800,1800,0
1774006375.665,60.048,B0,0.0000,275,78.9,0,1800,1800,0
1774006376.665,61.048,B0,0.0000,275,80.8,1,1800,1800,0
1774006377.665,62.049,B0,0.0000,275,81.3,1,1800,1800,0
1774006378.666,63.049,B0,0.0000,275,79.4,0,1800,1800,0
1774006379.666,64.049,B0,0.0000,275,79.9,0,1800,1800,0
1774006380.667,65.051,B0,0.0000,275,81.8,1,1800,1800,0
1774006381.668,66.051,B0,0.0000,275,81.3,1,1800,1800,0
1774006382.668,67.051,B0,0.0000,275,81.8,1,1800,1800,0
1774006383.668,68.051,B0,0.0000,275,82.3,1,1800,1775,8
1774006384.668,69.051,B0,0.0000,275,80.8,1,1800,1800,0
1774006385.668,70.052,B0,0.0000,275,81.3,1,1800,1800,0
1774006386.668,71.052,B0,0.0000,275,81.3,1,1800,1800,0
1774006387.669,72.052,B0,0.0000,275,81.8,1,1800,1800,0
1774006388.669,73.052,B0,0.0000,275,81.3,1,1800,1800,0
1774006389.669,74.052,B0,0.0000,275,81.3,1,1800,1800,0
1774006390.669,75.052,B0,0.0000,275,81.3,1,1800,1800,0
1774006391.669,76.053,B0,0.0000,275,81.3,1,1800,1775,0
1774006392.669,77.053,B0,0.0000,275,83.3,1,1800,1800,0
1774006393.672,78.056,B0,0.0000,275,81.3,1,1800,1800,0
1774006394.673,79.056,B0,0.0000,275,81.8,1,1800,1800,0
1774006395.673,80.056,B0,155.1808,425,82.3,1,1800,1775,8
1774006396.673,81.056,B0,0.0000,425,81.8,1,1800,1800,0
1774006397.673,82.056,B0,0.0000,425,81.8,1,1800,1775,8
1774006398.673,83.056,B0,0.0000,425,81.8,1,1800,1726,8
1774006399.676,84.060,B0,0.0000,425,81.3,1,1800,1800,0
1774006400.676,85.060,B0,0.0000,425,82.8,1,1800,1800,0
1774006401.680,86.064,B0,0.0000,425,82.3,1,1800,1677,8
1774006402.680,87.064,B0,0.0000,425,81.8,1,1800,1800,0
1774006403.684,88.068,B0,0.0000,425,81.8,1,1800,1800,0
1774006404.688,89.072,B0,0.0000,425,83.3,1,1800,1726,8
1774006405.688,90.072,B0,0.0000,425,82.8,1,1800,1800,0
1774006406.689,91.072,B0,0.0000,425,82.3,1,1800,1775,8
1774006407.689,92.072,B0,0.0000,425,81.3,1,1800,1800,0
1774006408.689,93.072,B0,0.0000,425,82.3,1,1800,1775,8
1774006409.689,94.072,B0,0.0000,425,82.8,1,1800,1726,8
1774006410.689,95.073,B0,0.0000,425,82.8,1,1800,1775,8
1774006411.692,96.076,B0,0.0000,425,81.8,1,1800,1726,8
1774006412.696,97.079,B0,0.0000,425,82.8,1,1800,1677,8
1774006413.696,98.079,B0,0.0000,425,82.3,1,1800,1775,8
1774006414.696,99.079,B0,0.0000,425,81.8,1,1800,1775,8
1774006415.696,100.079,B0,110.1220,533,83.3,1,1800,1726,0
1774006416.696,101.080,B0,0.0000,533,81.8,1,1800,1800,0
1774006417.696,102.080,B0,0.0000,533,83.3,1,1800,1726,8
1774006418.697,103.080,B0,0.0000,533,83.3,1,1800,1677,8
1774006419.700,104.084,B0,0.0000,533,82.8,1,1800,1775,8
1774006420.704,105.088,B0,0.0000,533,82.8,1,1800,1775,8
1774006421.708,106.092,B0,0.0000,533,82.3,1,1800,1726,8
1774006422.708,107.092,B0,0.0000,533,82.3,1,1800,1775,8
1774006423.712,108.096,B0,0.0000,533,82.3,1,1800,1629,8
1774006424.716,109.100,B0,0.0000,533,82.8,1,1800,1726,8
1774006425.716,110.100,B0,0.0000,533,82.3,1,1800,1800,0
1774006426.720,111.104,B0,0.0000,533,82.8,1,1800,1775,8
1774006427.720,112.104,B0,0.0000,533,82.8,1,1800,1726,8
1774006428.721,113.104,B0,0.0000,533,82.8,1,1800,1726,8
1774006429.721,114.104,B0,0.0000,533,82.3,1,1800,1726,8
1774006430.721,115.104,B0,0.0000,533,82.8,1,1800,1800,0
1774006431.721,116.104,B0,0.0000,533,81.8,1,1800,1800,0
1774006432.724,117.108,B0,0.0000,533,83.8,1,1800,1775,8
1774006433.724,118.108,B0,0.0000,533,82.8,1,1800,1726,8
1774006434.725,119.108,B0,0.0000,533,82.8,1,1800,1726,8
1774006435.725,120.108,B0,0.0000,533,83.3,1,1800,1775,8
1774006436.725,121.108,B0,0.0000,533,83.3,1,1800,1677,8
1774006437.725,122.108,B0,119.5326,650,83.3,1,1800,1677,8
1774006438.725,123.109,B0,0.0000,650,83.8,1,1800,1726,8
1774006439.725,124.109,B0,0.0000,650,82.8,1,1800,1726,8
1774006440.726,125.109,B0,0.0000,650,82.8,1,1800,1726,8
1774006441.726,126.109,B0,0.0000,650,83.3,1,1800,1726,8
1774006442.728,127.112,B0,0.0000,650,82.8,1,1800,1726,8
1774006443.728,128.112,B0,0.0000,650,82.8,1,1800,1726,8
1774006444.732,129.116,B0,0.0000,650,83.8,1,1800,1726,8
1774006445.732,130.116,B0,0.0000,650,82.8,1,1800,1629,8
1774006446.733,131.116,B0,0.0000,650,82.8,1,1800,1775,8
1774006447.736,132.120,B0,0.0000,650,83.3,1,1800,1726,8
1774006448.736,133.120,B0,0.0000,650,82.8,1,1800,1775,8
1774006449.737,134.120,B0,0.0000,650,82.3,1,1800,1629,8
1774006450.737,135.120,B0,0.0000,650,82.8,1,1800,1726,8
1774006451.737,136.120,B0,0.0000,650,83.3,1,1800,1677,8
1774006452.737,137.120,B0,0.0000,650,82.8,1,1800,1677,8
1774006453.737,138.121,B0,0.0000,650,84.2,1,1800,1677,8
1774006454.738,139.121,B0,0.0000,650,83.3,1,1800,1726,8
1774006455.738,140.121,B0,0.0000,650,83.3,1,1800,1726,8
1774006456.738,141.121,B0,0.0000,650,82.8,1,1800,1726,8
1774006457.740,142.124,B0,0.0000,650,83.8,1,1800,1726,8
1774006458.744,143.128,B0,0.0000,650,82.3,1,1800,1677,8
1774006459.748,144.132,B0,0.0000,650,83.3,1,1800,1677,8
1774006460.748,145.132,B0,0.0000,650,83.3,1,1800,1629,8
1774006461.749,146.132,B0,0.0000,650,82.8,1,1800,1775,8
1774006462.749,147.132,B0,0.0000,650,82.3,1,1800,1580,8
1774006463.749,148.132,B0,0.0000,650,82.8,1,1800,1677,8
1774006464.752,149.136,B0,0.0000,650,83.8,1,1800,1726,8
1774006465.752,150.136,B0,0.0000,650,83.3,1,1800,1726,8
1774006466.752,151.136,B0,128.9664,800,83.3,1,1800,1726,8
1774006467.756,152.140,B0,0.0000,800,83.3,1,1800,1775,8
1774006468.756,153.140,B0,0.0000,800,83.8,1,1800,1775,8
1774006469.757,154.140,B0,0.0000,800,83.3,1,1800,1629,8
1774006470.757,155.140,B0,0.0000,800,82.8,1,1800,1726,8
1774006471.757,156.141,B0,0.0000,800,82.3,1,1800,1726,8
1774006472.757,157.141,B0,0.0000,800,84.2,1,1800,1775,8
1774006473.758,158.141,B0,0.0000,800,83.8,1,1800,1531,8
1774006474.758,159.141,B0,0.0000,800,84.2,1,1800,1580,8
1774006475.760,160.144,B0,0.0000,800,83.3,1,1800,1677,8
1774006476.760,161.144,B0,0.0000,800,83.3,1,1800,1677,8
1774006477.761,162.144,B0,0.0000,800,83.3,1,1800,1677,8
1774006478.761,163.144,B0,0.0000,800,82.8,1,1800,1775,8
1774006479.764,164.148,B0,0.0000,800,83.8,1,1800,1726,8
1774006480.768,165.152,B0,0.0000,800,83.8,1,1800,1726,8
1774006481.768,166.152,B0,0.0000,800,83.3,1,1800,1677,8
1774006482.770,167.154,B0,0.0000,800,84.2,1,1800,1677,8
1774006483.770,168.154,B0,0.0000,800,83.3,1,1800,1677,8
1774006484.771,169.154,B0,0.0000,800,84.2,1,1800,1775,8
1774006485.771,170.154,B0,0.0000,800,82.3,1,1800,1775,8
1774006486.771,171.154,B0,0.0000,800,83.8,1,1800,1726,8
1774006487.771,172.154,B0,0.0000,800,83.8,1,1800,1677,8
1774006488.771,173.155,B0,0.0000,800,83.3,1,1800,1677,8
1774006489.771,174.155,B0,0.0000,800,83.3,1,1800,1775,8
1774006490.772,175.155,B0,0.0000,800,83.3,1,1800,1677,8
1774006491.772,176.155,B0,113.6622,932,83.8,1,1800,1629,8
1774006492.772,177.155,B0,0.0000,932,83.8,1,1800,1726,8
1774006493.772,178.156,B0,0.0000,932,83.8,1,1800,1726,8
1774006494.772,179.156,B0,0.0000,932,83.3,1,1800,1677,8
1774006495.773,180.156,B0,0.0000,932,83.3,1,1800,1677,8
1774006496.773,181.156,B0,0.0000,932,83.8,1,1800,1580,8
1774006497.773,182.156,B0,0.0000,932,83.3,1,1800,1677,8
1774006498.773,183.156,B0,0.0000,932,83.8,1,1800,1629,8
1774006499.773,184.157,B0,0.0000,932,83.3,1,1800,1629,8
1774006500.773,185.157,B0,0.0000,932,83.8,1,1800,1629,8
1774006501.774,186.157,B0,0.0000,932,83.3,1,1800,1677,8
1774006502.774,187.157,B0,0.0000,932,83.8,1,1800,1677,8
1774006503.774,188.157,B0,0.0000,932,83.8,1,1800,1677,8
1774006504.776,189.160,B0,0.0000,932,83.8,1,1800,1580,8
1774006505.776,190.160,B0,0.0000,932,84.2,1,1800,1629,8
1774006506.777,191.160,B0,0.0000,932,83.8,1,1800,1629,8
1774006507.780,192.164,B0,0.0000,932,83.8,1,1800,1629,8
1774006508.780,193.164,B0,0.0000,932,82.8,1,1800,600,6
1774006509.784,194.168,B0,0.0000,932,83.3,1,1800,1677,8
1774006510.788,195.172,B0,0.0000,932,83.8,1,1800,1726,8
1774006511.792,196.176,B0,0.0000,932,83.3,1,1800,1677,8
1774006512.796,197.180,B0,0.0000,932,83.3,1,1800,1775,8
1774006513.796,198.180,B0,0.0000,932,83.3,1,1800,1531,8
1774006514.797,199.180,B0,0.0000,932,83.8,1,1800,1580,8
1774006515.797,200.180,B0,0.0000,932,82.8,1,1800,1629,8
1774006516.797,201.180,B0,136.6225,1067,83.3,1,1800,1629,8
1774006517.800,202.184,B0,0.0000,1067,81.8,1,1800,1629,0
1774006518.800,203.184,B0,0.0000,1067,83.8,1,1800,1629,8
1774006519.801,204.184,B0,0.0000,1067,83.3,1,1800,1677,8
1774006520.801,205.184,B0,0.0000,1067,83.3,1,1800,1677,8
1774006521.804,206.188,B0,0.0000,1067,82.8,1,1800,1726,8
1774006522.806,207.189,B0,0.0000,1067,83.8,1,1800,1580,8
1774006523.806,208.190,B0,0.0000,1067,83.8,1,1800,1629,8
1774006524.806,209.190,B0,0.0000,1067,82.8,1,1800,1531,8
1774006525.807,210.190,B0,0.0000,1067,84.2,1,1800,1677,8
1774006526.807,211.190,B0,0.0000,1067,84.2,1,1800,1629,8
1774006527.807,212.190,B0,0.0000,1067,84.2,1,1800,1677,8
1774006528.807,213.190,B0,0.0000,1067,83.3,1,1800,1629,8
1774006529.807,214.191,B0,0.0000,1067,83.8,1,1800,1677,8
1774006530.808,215.191,B0,0.0000,1067,83.8,1,1800,1629,8
1774006531.808,216.191,B0,0.0000,1067,83.8,1,1800,1677,8
1774006532.808,217.191,B0,0.0000,1067,83.8,1,1800,1580,8
1774006533.808,218.191,B0,0.0000,1067,82.3,1,1800,1629,8
1774006534.808,219.192,B0,0.0000,1067,83.8,1,1800,1629,8
1774006535.808,220.192,B0,0.0000,1067,83.8,1,1800,1629,8
1774006536.809,221.192,B0,0.0000,1067,83.8,1,1800,1629,8
1774006537.812,222.196,B0,0.0000,1067,83.3,1,1800,1629,8
1774006538.812,223.196,B0,0.0000,1067,84.2,1,1800,1580,8
1774006539.813,224.196,B0,0.0000,1067,84.2,1,1800,1580,8
1774006540.813,225.196,B0,0.0000,1067,83.3,1,1800,1531,8
1774006541.813,226.196,B0,0.0000,1067,84.7,1,1800,1531,8
1774006542.813,227.196,B0,0.0000,1067,83.8,1,1800,1726,8
1774006543.813,228.197,B0,0.0000,1067,84.2,1,1800,1726,8
1774006544.813,229.197,B0,0.0000,1067,83.8,1,1800,1629,8
1774006545.814,230.197,B0,153.7294,1217,84.7,1,1800,1531,8
1774006546.814,231.197,B0,0.0000,1217,82.8,1,1800,1580,8
1774006547.814,232.197,B0,0.0000,1217,84.2,1,1800,1580,8
1774006548.814,233.198,B0,0.0000,1217,83.8,1,1800,1726,8
1774006549.814,234.198,B0,0.0000,1217,83.8,1,1800,1629,8
1774006550.815,235.198,B0,0.0000,1217,83.3,1,1800,1677,8
1774006551.815,236.198,B0,0.0000,1217,83.3,1,1800,1580,8
1774006552.815,237.198,B0,0.0000,1217,84.7,1,1800,1629,8
1774006553.815,238.198,B0,0.0000,1217,84.2,1,1800,1677,8
1774006554.815,239.199,B0,0.0000,1217,83.3,1,1800,1580,8
1774006555.815,240.199,B0,0.0000,1217,83.3,1,1800,1677,8
1774006556.816,241.199,B0,0.0000,1217,83.8,1,1800,1677,8
1774006557.816,242.199,B0,0.0000,1217,83.3,1,1800,1580,8
1774006558.816,243.199,B0,0.0000,1217,84.2,1,1800,1580,8
1774006559.816,244.199,B0,0.0000,1217,83.3,1,1800,1580,8
1774006560.816,245.200,B0,0.0000,1217,84.2,1,1800,1580,8
1774006561.816,246.200,B0,0.0000,1217,84.7,1,1800,1531,8
1774006562.817,247.200,B0,0.0000,1217,83.3,1,1800,1580,8
1774006563.817,248.200,B0,0.0000,1217,83.8,1,1800,1629,8
1774006564.817,249.200,B0,0.0000,1217,83.8,1,1800,1580,8
1774006565.820,250.204,B0,0.0000,1217,84.2,1,1800,1580,8
1774006566.824,251.208,B0,0.0000,1217,82.8,1,1800,1677,8
1774006567.828,252.212,B0,0.0000,1217,83.8,1,1800,1677,8
1774006568.828,253.212,B0,0.0000,1217,83.8,1,1800,1580,8
1774006569.829,254.213,B0,0.0000,1217,84.2,1,1800,1629,8
1774006570.829,255.213,B0,0.0000,1217,83.8,1,1800,1580,8
1774006571.830,256.213,B0,0.0000,1217,84.7,1,1800,1726,8
1774006572.830,257.213,B0,0.0000,1217,83.8,1,1800,1580,8
1774006573.830,258.213,B0,129.0604,1367,83.8,1,1800,1580,8
1774006574.832,259.216,B0,0.0000,1367,83.8,1,1800,1580,8
1774006575.832,260.216,B0,0.0000,1367,83.8,1,1800,1629,8
1774006576.833,261.216,B0,0.0000,1367,83.8,1,1800,1629,8
1774006577.833,262.216,B0,0.0000,1367,83.8,1,1800,1531,8
1774006578.833,263.216,B0,0.0000,1367,84.2,1,1800,1531,8
1774006579.833,264.216,B0,0.0000,1367,83.8,1,1800,1629,8
1774006580.833,265.217,B0,0.0000,1367,84.2,1,1800,1580,8
1774006581.836,266.220,B0,0.0000,1367,83.3,1,1800,1629,8
1774006582.836,267.220,B0,0.0000,1367,83.3,1,1800,1677,8
1774006583.837,268.220,B0,0.0000,1367,83.3,1,1800,1726,8
1774006584.837,269.220,B0,0.0000,1367,82.8,1,1800,1531,8
1774006585.837,270.220,B0,0.0000,1367,82.8,1,1800,1531,8
1774006586.837,271.220,B0,0.0000,1367,83.8,1,1800,1580,8
1774006587.837,272.221,B0,0.0000,1367,84.2,1,1800,1677,8
1774006588.837,273.221,B0,0.0000,1367,83.3,1,1800,1677,8
1774006589.838,274.221,B0,0.0000,1367,83.3,1,1800,1677,8
1774006590.838,275.221,B0,0.0000,1367,85.2,1,1800,1580,8
1774006591.838,276.221,B0,0.0000,1367,83.8,1,1800,1580,8
1774006592.838,277.222,B0,0.0000,1367,83.8,1,1800,1580,8
1774006593.838,278.222,B0,0.0000,1367,83.8,1,1800,600,8
1774006594.839,279.222,B0,0.0000,1367,84.2,1,1800,1580,8
1774006595.839,280.222,B0,0.0000,1367,84.2,1,1800,1677,8
1774006596.839,281.222,B0,0.0000,1367,83.8,1,1800,1629,8
1774006597.839,282.222,B0,0.0000,1367,84.7,1,1800,1629,8
1774006598.839,283.223,B0,0.0000,1367,83.8,1,1800,1629,8
1774006599.839,284.223,B0,0.0000,1367,83.3,1,1800,1580,8
1774006600.840,285.223,B0,0.0000,1367,83.3,1,1800,1677,8
1774006601.840,286.223,B0,0.0000,1367,82.8,1,1800,1580,8
1774006602.840,287.223,B0,149.8448,1514,84.2,1,1800,1629,8
1774006603.840,288.223,B0,0.0000,1514,83.8,1,1800,1580,8
1774006604.840,289.224,B0,0.0000,1514,83.8,1,1800,1580,8
1774006605.841,290.224,B0,0.0000,1514,83.8,1,1800,1629,8
1774006606.841,291.224,B0,0.0000,1514,83.8,1,1800,1629,8
1774006607.841,292.224,B0,0.0000,1514,83.8,1,1800,1629,8
1774006608.841,293.224,B0,0.0000,1514,84.7,1,1800,1629,8
1774006609.841,294.225,B0,0.0000,1514,84.7,1,1800,1677,8
1774006610.841,295.225,B0,0.0000,1514,82.3,1,1800,1531,8
1774006611.842,296.225,B0,0.0000,1514,83.8,1,1800,1677,8
1774006612.842,297.225,B0,0.0000,1514,83.8,1,1800,1629,8
1774006613.842,298.225,B0,0.0000,1514,83.8,1,1800,1629,8
1774006614.842,299.226,B0,0.0000,1514,84.2,1,1800,1677,8
1774006615.844,300.228,B0,0.0000,1514,84.7,1,1800,1531,8
1774006616.848,301.232,B0,0.0000,1514,84.2,1,1800,1531,8
1774006617.848,302.232,B0,0.0000,1514,84.7,1,1800,1531,8
